title,summary,logo_image
Amazon Athena,A fully managed service for querying S3 data,https://www.metabase.com/images/datasources/circle/aws-athena.png
Amazon Redshift,"A fully-managed, petabyte-scale data warehouse service",https://www.metabase.com/images/datasources/circle/amazon-redshift.png
Apache Spark,An open-source unified analytics engine,https://www.metabase.com/images/datasources/circle/spark.png
BigQuery,"A fully-managed, serverless data warehouse",https://www.metabase.com/images/datasources/circle/big-query.png
ClickHouse,An open-source analytical database management system,https://www.metabase.com/images/datasources/circle/clickhouse.png
Cube.js,An open-source analytical API platform,https://www.metabase.com/images/datasources/circle/cube-js.png
Druid,"A column-oriented, open-source, distributed data store",https://www.metabase.com/images/datasources/circle/druid.png
Firebolt,A cloud data warehouse,https://www.metabase.com/images/datasources/circle/firebolt.png
Google Analytics,A web analytics service,https://www.metabase.com/images/datasources/circle/google-analytics.png
Microsoft SQL Server,A relational database management system,https://www.metabase.com/images/datasources/circle/microsoft-server.png
MongoDB,"A general purpose, document-based, distributed database",https://www.metabase.com/images/datasources/circle/mongo-db.png
MySQL,An open-source relational database management system,https://www.metabase.com/images/datasources/circle/mysql.png
Oracle Database,A relational multi-model database management system,https://www.metabase.com/images/datasources/circle/oracle.png
PostgreSQL,An open-source relational database management system,https://www.metabase.com/images/datasources/circle/post-gre.png
Presto,"An open-source, distributed query engine",https://www.metabase.com/images/datasources/circle/presto.png
Snowflake,A cloud data platform,https://www.metabase.com/images/datasources/circle/snowflake.png
SQLite,A relational database management system,https://www.metabase.com/images/datasources/circle/sql-lite.png
Teradata,A data warehouse built for scale.,https://www.metabase.com/images/datasources/circle/teradata.png
Vertica,"A distributed, shared-nothing, database management system",https://www.metabase.com/images/datasources/circle/vertica.png
