category_filters,title,author,author_img,organization
Metrics,A/B test checklist,Olga Berezovsky,https://www.metabase.com/images/community/olga_berezovsky.jpeg,MyFitnessPal
"Strategy,Data culture",A data catalog endeavor: The Why and the How,Juan Sebastián Suarez Valencia,https://www.metabase.com/images/community/juan-sebastian.jpeg,Meisterlabs
"Working with Metabase,Data culture",Anticipating the next click,Ukrit Wattanavaekin,https://www.metabase.com/images/community/Ukrit-Wattanavaekin.jpeg,Metabase
Data culture,Choose boring data technology,Jacob O’Bryant,https://www.metabase.com/images/community/Jacob-OBryant.jpg,Thesample.ai
Strategy,Tips for writing Community Stories,Metabot,https://www.metabase.com/images/community/data-bytes-tips/metabot-greetings-data-bytes.png,Metabase
Pipelines,Data-driven pipelines as a competitive advantage,JP Urrutia,https://www.metabase.com/images/community/jp-urrutia.png,KPMG
"Working with Metabase,Strategy",Data driven product management,Victor Bolu,https://www.metabase.com/images/community/Victor-Bolu.png,WebAutomation
"Working with Metabase,Metrics",Building SaaS metrics dashboards with Metabase,Chris Short,https://www.metabase.com/images/community/Chris-Short.jpeg,Easy Agile
Careers,Career Advice for Data Analysts,Rob Glickman,https://www.metabase.com/images/community/Rob-Glickman.png,Cledara
"Working with Metabase,Self-service analytics",Exploiting data to deliver trustworthy metrics,Frédéric Vion,https://www.metabase.com/images/community/Frederic-Vion.jpg,Subclic
Metrics,What is K-Factor? Forecasting your product virality,Ruslan Nazarenko,https://www.metabase.com/images/community/ruslan-nazarenko.jpeg,Braid
Pipelines,Here's what I learned from creating Data Pipelines,Srivamsi Sakirepalli,https://www.metabase.com/images/community/srivamsi-sakirepalli.jpeg,Lendingkart
Careers,How I built the Data Angels community for women in data,Jessica Cherny,https://www.metabase.com/images/community/jessica-cherny.png,Ironclad
Working with Metabase,How I used Metabase with MongoDB to track the performance of my Slack app,Adam Charvat,https://www.metabase.com/images/community/adam-charvat.png,MeetSlack
Metrics,How to choose the right data to monitor your growth?,Khalil A. Cassimally,https://www.metabase.com/images/community/khalil-a-cassimally.png,The Conversation
Data culture,How to document data,Rick Radewagen,https://www.metabase.com/images/community/rick-radewagen.jpeg,Snowboard Software
Modeling,How to ensure your data model changes don’t make the world explode,Kim Streich,https://www.metabase.com/images/community/Kim-Streich.png,Infused Insight
Visualization,How to fix broken dashboards,Halynne Shi,https://www.metabase.com/images/community/halynne-shi.png,Shopback
Metrics,How to measure the success of new product features and why it is important,Kedson Alves,https://www.metabase.com/images/community/kedson-alves.jpeg,Panther
Metrics,How to relate team’s KPIs with the overlapping OKR goals,Guilherme Souza,https://www.metabase.com/images/community/guilherme-souza.jpeg,Cheesecake Labs
Data teams,How to structure your data team to support organizational goals,Danae Whitten,https://www.metabase.com/images/community/danae-whitten.png,BombBomb
Statistics,Why statistics do not always summarize data well,Matt David,https://www.metabase.com/images/community/Matt-David.png,Datafold
"Data culture,Strategy",How we used OKRs for the data science team to improve our data stack,Thomas Schmidt,https://www.metabase.com/images/community/thomas-schmidt.jpeg,Agrando
"Working with Metabase,Strategy",Measuring metrics performance starts before you start measuring,TJ Muehleman,https://www.metabase.com/images/community/TJ-Muehleman.png,Standard Co
