title,logo_image,image
Data driven security at Blibli.com,https://www.metabase.com/images/case-studies/angelist-logo.png,https://www.metabase.com/images/twitter/blibli.png
Metabase at Paychex,https://www.metabase.com/images/case-studies/n26-logo.png,https://www.metabase.com/images/twitter/paychex.png
Metabase at Stoodi,https://www.metabase.com/images/case-studies/retargetly-logo.png,https://www.metabase.com/images/twitter/stoodi.png
Metabase at SYNQ,https://www.metabase.com/images/case-studies/retargetly-logo.png,https://www.metabase.com/images/case-studies/Solv.png
AngelList Venture enables everyone on their team to explore data with Metabase.,https://www.metabase.com/images/case-studies/angelist-logo.png,https://www.metabase.com/images/case-studies/angelist-bg.jpg
Dribbble uses Metabase to democratize data across all their teams.,https://www.metabase.com/images/case-studies/dribbble-logo.png,https://www.metabase.com/images/case-studies/dribbble-banner.jpg
Fabulous builds an efficient system of business reporting within the company with Metabase.,https://www.metabase.com/images/case-studies/fabulous-logo.png,https://www.metabase.com/images/case-studies/fabulous-banner.png
Gojek brings company-wide transparency to customer care with Metabase.,https://www.metabase.com/images/case-studies/gojek-logo.png,https://www.metabase.com/images/case-studies/gojek2.jpeg
Hurb uses Metabase to improve their decision-making process and increase earnings.,https://www.metabase.com/images/case-studies/hurb-logo.png,https://www.metabase.com/images/case-studies/hurb.jpg
incident.io embeds Metabase in their product to provide self-service analytics to their customers.,https://www.metabase.com/images/case-studies/incidentio.png,https://www.metabase.com/images/case-studies/incident-banner.jpeg
Kula and Standard Co team up to empower female entrepreneurs with Metabase.,https://www.metabase.com/images/case-studies/kula-logo.png,https://www.metabase.com/images/case-studies/kula.jpeg
"Matter saves 30% of their growth budget, making data-informed decisions with Metabase.",https://www.metabase.com/images/case-studies/matter-logo.png,https://www.metabase.com/images/case-studies/matter-banner.png
N26 promotes data literacy in Europe's first mobile bank with Metabase.,https://www.metabase.com/images/case-studies/n26-logo.png,https://www.metabase.com/images/case-studies/n26.png
Onepark cut ad hoc requests for data in half after picking up Metabase.,https://www.metabase.com/images/case-studies/onepark.png,https://www.metabase.com/images/case-studies/onepark-banner.jpg
Retargetly builds a data culture with Metabase.,https://www.metabase.com/images/case-studies/retargetly-logo.png,https://www.metabase.com/images/case-studies/retargetly-banner.png
Spocket saves over 60 hours per month and avoids ad-hoc requests of their data team.,https://www.metabase.com/images/case-studies/spocket_logo.png,https://www.metabase.com/images/case-studies/spocket-banner.png
Sunglass Fix explores their business with Metabase.,https://www.metabase.com/images/case-studies/sunglassfix-logo-v3.png,https://www.metabase.com/images/case-studies/SGF_metabase_01@2x.png
Treebo Hotels makes metrics and KPIs a part of their daily routine with Metabase.,https://www.metabase.com/images/case-studies/treebo-logo.png,https://www.metabase.com/images/case-studies/treebo-banner.png
Uptime keeps elevators moving with Metabase.,https://www.metabase.com/images/case-studies/uptime-logo.png,https://www.metabase.com/images/case-studies/uptime-photo.jpg
Usabilla unlocks analytics for everybody with Metabase.,https://www.metabase.com/images/case-studies/usabilla-logo.png,https://www.metabase.com/images/case-studies/usabilia-banner.png
